№ П/П;node;pkt;trans;tr_s;sn
И-145;1;;;;
;1;;;;
10;НС-1-568П;;ТМ-10;250;
11;НС-1-569;20;ТМ-10;160;65,8
12;НС-1-508;100;ТМ-10;100;55
13;НС-1-506;10;ТМ-10;63;0
14;НС-1-586П;;ТМ-10;100;
15;НС-1-706П;;ТМ-10;100;
16;НС-1-518;32;ТМ-10;250;6,7
17;НС-1-511;16;ТМ-10;160;108,9
18;НС-1-544;20;ТМ-10;160;1,2
19;НС-1-753;20;ТМ-10;63;5,7
20;НС-1-507;8;ТМ-10;160;40,5
21;НС-1-501П (Не дейстующая ТП);;ТМ-10;250;
22;НС-1-741;30;ТМ-10;63;0
23;НС-1-503П;;ТМ-10;400;
24;НС-1-563;10;ТМ-10;63;8,3
25;НС-1-742П;;ТМ-10;250;
26;НС-1-1506;30;ТМ-10;25;14
27;НС-1-599П;;ТМ-10;63;
28;НС-1-591П;;ТМ-10;250;
29;НС-1-752;30;ТМ-10;25;0
30;НС-1-596;10;ТМ-10;250;22,4
31;НС-1-737П;;ТМ-10;25;
32;НС-1-514;20;ТМ-10;160;75,8
33;НС-1-517;16;ТМ-10;250;21,8
34;НС-1-515;16;ТМ-10;400;100,4
35;НС-1-516;40;ТМ-10;250;75,1
36;НС-1-557;16;ТМ-10;160;21
37;НС-1-510;10;ТМ-10;100;32,3
38;НС-1-579;6;ТМ-10;100;18
39;НС-1-1507;30;ТМ-10;100;51
40;НС-1-707;30;ТМ-10;100;10,3
41;НС-1-710;30;ТМ-10;63;5,5
42;НС-1-712;30;ТМГ-10;100;50
СЕ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-2-02;50;ТМ-10;400;30,2
2;СЕ-1-45;80;ТМ-10;630;56
3;СЕ-1-44П;;ТМ-10;250;
4;СЕ-1-127;16;ТМ-10;100;232,4
5;СЕ-1-35П;;ТМ-10;250;
6;СЕ-1-31;20;ТМ-10;160;217,3
7;СЕ-1-112;20;ТМ-10;160;77
8;СЕ-1-33;20;ТМ-10;160;251,7
9;СЕ-1-34П;;ТМ-10;250;
10;СЕ-1-829П;;ТМ-10;100;
11;СЕ-1-79;20;ТМ-10;160;75,3
12;СЕ-1-37;;ТМ-10;2х400;370
13;СЕ-1-867П;;ТМ-10;250;
14;СЕ-1-1157;50;ТМ-10;400;
15;СЕ-1-36;40;ТМ-10;250;109
16;СЕ-1-812;20;ТМ-10;160;79,9
17;СЕ-1-43;;ТМ-10;160+400;55,2
18;СЕ-1-126;20;ТМ-10;160;61,4
19;СЕ-1-39;40;ТМ-10;250;190,2
20;СЕ-1-113П;;ТМ-10;160;
21;СЕ-1-889П;;ТМ-10;160;
22;СЕ-1-41П;;ТМ-10;400;
23;СЕ-5-42;40;ТМ-10;250;246,8
24;СЕ-1-821П;;ТМ-10;250;
25;СЕ-1-809П;;ТМ-10;400;
26;СЕ-1-848;16;ТМ-10;100;43,5
СЕ-2;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-2-02;50;ТМ-10;400;30,2
2;СЕ-2-09;31;ТМ-10;180;15
3;СЕ-2-870П;;ТМ-10;250;
4;СЕ-2-10П;;ТМ-10;250;
5;СЕ-2-118П;;ТМ-10;63;
6;СЕ-2-875П;;ТМ-10;160;
7;СЕ-2-194П;;ТМ-10;250;
8;СЕ-2-1147;5;ТМ-10;25;20,7
9;СЕ-2-840П;;ТМ-10;160;
10;СЕ-2-842П;;ТМ-10;160;
11;СЕ-2-29П;;ТМ-10;160;
12;СЕ-2-32;20;ТМ-10;160;31
13;СЕ-2-40П;;ТМ-10;100;
14;СЕ-2-1136;40;ТМ-10;250;60
15;СЕ-2-816П;;ТМ-10;25;
16;СЕ-2-1106П;;ТМ-10;63;
17;СЕ-2-189П;;ТМ-10;100;
18;СЕ-2-1156П;;ТМ-10;40;
19;СЕ-2-822П;;ТМ-10;400;
